"Time [ms]","Steel_1008 [Wb]","Steel_1008_NoEddy [Wb]","SS430 [Wb]"
24.8999999999999,3.14094467955725,3.7920308063499,3.57608847183699
24.9999999999999,3.15186096114307,3.80699663858162,3.58934142129073
25.0999999999999,3.16275240453298,3.82194323314017,3.60256494403153
25.1999999999999,3.17361914935855,3.83687059820212,3.61575900369282
25.2999999999999,3.18446133346384,3.85177874066123,3.62892356365287
25.3999999999999,3.19527909281003,3.86666766567764,3.64205858705585
25.4999999999999,3.20607256127761,3.88153737703429,3.65516403681449
25.5999999999999,3.21684187059759,3.89638787744794,3.66823987561177
25.6999999999999,3.22758715063894,3.91121916872075,3.68128606594193
25.7999999999999,3.23830852964481,3.92603125184081,3.69430257011497
25.8999999999999,3.24900613451948,3.94082412710421,3.70728935024184
25.9999999999999,3.25968009057292,3.95559779417872,3.72024636827257
26.0999999999999,3.27033052132062,3.97035225215538,3.73317358602171
26.1999999999999,3.28095754834742,3.98508749961747,3.74607096517179
26.2999999999999,3.29156129101424,3.99980353468941,3.75893846726785
26.3999999999999,3.30214186597954,4.01450035506947,3.77177605369979
26.4999999999999,3.31269938685958,4.02917795806491,3.78458368574133
26.5999999999999,3.32323396388203,4.04383634062907,3.79736132457141
26.6999999999999,3.33374570358603,4.05847549934597,3.81010893127891
26.7999999999999,3.34423470860722,4.07309543041409,3.82282646685777
26.8999999999999,3.35470107751712,4.08769612977925,3.83551389222911
26.9999999999999,3.36514490474856,4.1022775931792,3.84817116826223
27.0999999999999,3.3755662808086,4.1168398161934,3.86079825577267
27.1999999999999,3.38596529242101,4.13138279420873,3.87339511556422
27.2999999999999,3.39634202274947,4.14590652247924,3.8859617084365
27.3999999999999,3.40669655172817,4.16041099618623,3.89849799519588
27.4999999999999,3.41702895652386,4.17489621048249,3.91100393664768
27.5999999999999,3.42733931191643,4.18936216051376,3.92347949360299
27.6999999999999,3.43762769068429,4.20380884144416,3.93592462691906
27.7999999999999,3.44789416385707,4.21823624847436,3.94833929750682
27.8999999999999,3.45813880104509,4.23264437687275,3.9607234663335
27.9999999999999,3.46836167073173,4.24703322196032,3.97307709444359
28.0999999999999,3.47856284041608,4.26140277913065,3.98540014295938
28.1999999999999,3.48874237690023,4.27575304384674,3.99769257309185
28.2999999999999,3.49890034651853,4.29008401165315,4.00995434614654
28.3999999999999,3.50903681541213,4.30439567818754,4.02218542355075
28.4999999999999,3.51915184976255,4.31868803916947,4.03438576685694
28.5999999999999,3.52924551610479,4.3329610904032,4.04655533774786
28.6999999999999,3.53931788165089,4.34721482778192,4.05869409805735
28.7999999999999,3.54936901450785,4.36144924721908,4.07080200977613
28.8999999999999,3.55939898385596,4.37566434416912,4.08287903503367
28.9999999999999,3.56940786001686,4.38986011315491,4.09492513615203
29.0999999999999,3.57939571449642,4.40403654810453,4.10694027564084
29.1999999999999,3.58936262000184,4.41819364247521,4.11892441622521
29.2999999999999,3.59930865038785,4.43233138934663,4.1308775208525
29.3999999999999,3.60923388051273,4.44644978147135,4.14279955267799
29.4999999999999,3.61913838607099,4.4605488113258,4.15469047503022
29.5999999999999,3.62902224358112,4.47462847116154,4.16655025150798
29.6999999999999,3.63888553035463,4.48868875303301,4.17837884598542
29.7999999999999,3.64872832447808,4.50272964881479,4.19017622260523
29.8999999999999,3.65855070479006,4.51675115018331,4.20194234578262
29.9999999999999,3.66835275089722,4.53075324862312,4.21367718023245
30.0999999999999,3.67813454320705,4.54473593540168,4.2253806909464
30.1999999999999,3.68789616292841,4.5586992015074,4.23705284322495
30.2999999999999,3.69763769202685,4.5726430375349,4.24869360267117
30.3999999999999,3.70735921314552,4.58656743354448,4.26030293520072
30.4999999999999,3.71706080940773,4.60047237884808,4.27188080703261
30.5999999999999,3.72674256420522,4.61435786187901,4.28342718474817
30.6999999999999,3.73640456091021,4.62822387045565,4.2949420353227
30.7999999999999,3.74604688261749,4.64207039191745,4.30642532610322
30.8999999999999,3.75566961193015,4.65589741321931,4.31787702472721
30.9999999999999,3.76527283074162,4.66970492103486,4.32929709920842
31.0999999999999,3.77485662008488,4.6834929017883,4.34068551798231
31.1999999999999,3.7844210600138,4.69726134171618,4.35204224984545
31.2999999999999,3.79396622953311,4.71101022681704,4.36336726399061
31.3999999999999,3.80349220655367,4.72473954268852,4.3746605299759
31.4999999999999,3.81299906789859,4.73844927458252,4.38592201779619
31.5999999999999,3.82248688927123,4.7521394074778,4.39715169784609
31.6999999999999,3.83195574527973,4.76580992613151,4.40834954096588
31.7999999999999,3.84140570944207,4.77946081513519,4.41951551839058
31.8999999999999,3.85083685425187,4.79309205890778,4.43064960169576
31.9999999999999,3.86024925122053,4.8067036417484,4.44175176283569
32.0999999999999,3.86964297095559,4.82029554782756,4.45282197415713
32.1999999999999,3.87901808322949,4.83386776122536,4.46386020839316
32.2999999999999,3.88837465698721,4.84742026592269,4.47486643863183
32.3999999999999,3.89771276034982,4.86095304577664,4.48584063820979
32.4999999999999,3.90703246060335,4.87446608446596,4.49678278064115
32.5999999999999,3.91633382418014,4.88795936544431,4.5076928395608
32.6999999999999,3.92561691659773,4.90143287178111,4.5185707885297
32.7999999999999,3.93488180237621,4.91488658581283,4.52941660058188
32.8999999999999,3.9441285449417,4.92832048821716,4.54023024791806
32.9999999999999,3.95335720652292,4.94173455762647,4.55101170135628
33.0999999999999,3.96256784805077,4.95512877139135,4.56176092961961
33.1999999999999,3.97176052905317,4.96850310581402,4.57247789862786
33.2999999999999,3.98093530756452,4.98185753631789,4.58316257206709
33.3999999999999,3.99009224002434,4.9951920375895,4.59381491222942
33.4999999999999,3.99923138122834,5.00850658369096,4.60443488028495
33.5999999999999,4.0083527842972,5.02180114811778,4.61502243657903
33.6999999999999,4.01745650068755,5.03507570385589,4.62557754083736
33.7999999999999,4.02654258017452,5.04833022344446,4.63610015227966
33.8999999999999,4.03561107095375,5.06156467899095,4.64659022971712
33.9999999999999,4.04466201970236,5.07477904217784,4.65704773157141
34.0999999999999,4.05369547169147,5.08797328424897,4.66747261574903
34.2,4.0627114709251,5.10114737589265,4.67786483924397
34.3,4.07171006027395,5.11430128710198,4.68822435803563
34.4,4.08069128163435,5.1274349869175,4.69855112743454
34.5,4.08965517608493,5.14054844311451,4.70884510228931
34.6,4.09860178403222,5.15364162171597,4.71910623713205
34.7,4.10753114539984,5.16671448666877,4.72933448635691
34.8,4.11644329977746,5.17976699999322,4.73952980430574
34.9,4.12533828658918,5.1927991217656,4.74969214537929
35,4.13421614528109,5.20581081011139,4.75982146409875
35.1,4.14307691546242,5.21880202119868,4.76991771520444
35.2,4.15192063707352,5.23177270923603,4.77998085370543
35.3,4.16074735058653,5.24472282648385,4.79001083490725
35.4,4.16955709714471,5.25765232311986,4.80000761409573
35.5,4.17834991866767,5.27056114714444,4.80997114699495
